country;year;category;group;subgroup;consumption
Bulgaria;2016;Animal;Dairy & Eggs ;;271
Bulgaria;2016;Non-Animal;Fruit and Vegetables ;;117
Bulgaria;2016;Non-Animal;Carbohydrates;Cereals and Grains ;1017
Bulgaria;2016;Animal;Meat ;;206
Bulgaria;2016;Non-Animal;Alcoholic Beverages ;;173
Bulgaria;2016;Non-Animal;Carbohydrates;Sugar ;323
Bulgaria;2016;Non-Animal;Oils & Fats ;;502
Bulgaria;2016;Non-Animal;Carbohydrates;Starchy Roots and pulses ;43,5
Bulgaria;2017;Non-Animal;Carbohydrates;Cereals and Grains ;1067
Bulgaria;2017;Non-Animal;Carbohydrates;Starchy Roots and pulses ;47,5
Bulgaria;2017;Animal;Meat ;;225
Bulgaria;2017;Animal;Dairy & Eggs ;;272
Bulgaria;2017;Non-Animal;Fruit and Vegetables ;;92
Bulgaria;2017;Non-Animal;Oils & Fats ;;484
Bulgaria;2017;Non-Animal;Alcoholic Beverages ;;182
Bulgaria;2017;Non-Animal;Carbohydrates;Sugar ;320
Bulgaria;2018;Non-Animal;Oils & Fats ;;505
Bulgaria;2018;Animal;Meat ;;246
Bulgaria;2018;Animal;Dairy & Eggs ;;248
Bulgaria;2018;Non-Animal;Carbohydrates;Sugar ;302
Bulgaria;2018;Non-Animal;Alcoholic Beverages ;;170
Bulgaria;2018;Non-Animal;Fruit and Vegetables ;;85
Bulgaria;2018;Non-Animal;Carbohydrates;Cereals and Grains ;1094
Bulgaria;2018;Non-Animal;Carbohydrates;Starchy Roots and pulses ;40
Bulgaria;2019;Non-Animal;Carbohydrates;Sugar ;249
Bulgaria;2019;Non-Animal;Oils & Fats ;;514
Bulgaria;2019;Animal;Meat ;;240
Bulgaria;2019;Non-Animal;Alcoholic Beverages ;;178
Bulgaria;2019;Non-Animal;Carbohydrates;Starchy Roots and pulses ;40
Bulgaria;2019;Animal;Dairy & Eggs ;;258
Bulgaria;2019;Non-Animal;Fruit and Vegetables ;;91
Bulgaria;2019;Non-Animal;Carbohydrates;Cereals and Grains ;1112
Bulgaria;2020;Non-Animal;Alcoholic Beverages ;;178
Bulgaria;2020;Non-Animal;Carbohydrates;Sugar ;268
Bulgaria;2020;Non-Animal;Oils & Fats ;;479
Bulgaria;2020;Non-Animal;Carbohydrates;Starchy Roots and pulses ;38
Bulgaria;2020;Non-Animal;Carbohydrates;Cereals and Grains ;1101
Bulgaria;2020;Animal;Meat ;;256
Bulgaria;2020;Animal;Dairy & Eggs ;;263
Bulgaria;2020;Non-Animal;Fruit and Vegetables ;;103
Bulgaria;2021;Non-Animal;Carbohydrates;Cereals and Grains ;1106
Bulgaria;2021;Non-Animal;Carbohydrates;Starchy Roots and pulses ;30,5
Bulgaria;2021;Non-Animal;Fruit and Vegetables ;;106
Bulgaria;2021;Non-Animal;Oils & Fats ;;489
Bulgaria;2021;Animal;Meat ;;250
Bulgaria;2021;Animal;Dairy & Eggs ;;268
Bulgaria;2021;Non-Animal;Alcoholic Beverages ;;191
Bulgaria;2021;Non-Animal;Carbohydrates;Sugar ;266
Bulgaria;2022;Non-Animal;Alcoholic Beverages ;;191
Bulgaria;2022;Non-Animal;Fruit and Vegetables ;;130
Bulgaria;2022;Non-Animal;Carbohydrates;Cereals and Grains ;1102
Bulgaria;2022;Non-Animal;Carbohydrates;Starchy Roots and pulses ;35
Bulgaria;2022;Animal;Dairy & Eggs ;;292
Bulgaria;2022;Non-Animal;Carbohydrates;Sugar ;271
Bulgaria;2022;Non-Animal;Oils & Fats ;;489
Bulgaria;2022;Animal;Meat ;;242
Croatia;2014;Non-Animal;Carbohydrates;Cereals and Grains ;888
Croatia;2014;Non-Animal;Carbohydrates;Starchy Roots and pulses ;69,5
Croatia;2014;Non-Animal;Fruit and Vegetables ;;146
Croatia;2014;Non-Animal;Oils & Fats ;;544
Croatia;2014;Animal;Meat ;;249
Croatia;2014;Animal;Dairy & Eggs ;;341
Croatia;2014;Non-Animal;Alcoholic Beverages ;;181
Croatia;2014;Non-Animal;Carbohydrates;Sugar ;448
Croatia;2015;Non-Animal;Alcoholic Beverages ;;169
Croatia;2015;Non-Animal;Fruit and Vegetables ;;183
Croatia;2015;Non-Animal;Carbohydrates;Cereals and Grains ;848
Croatia;2015;Non-Animal;Carbohydrates;Starchy Roots and pulses ;66
